business	dictionary_code	item_code	item_short_name	item_full_name	analytical_attribute_code
FB	ACCOUNTS	ДО_ОПЛ_1	ДО_ОПЛ_1	Бухгалтерский счет ДО_ОПЛ_1	account
FB	ACCOUNTS	ДО_ПБС_1	ДО_ПБС_1	Бухгалтерский счет ДО_ПБС_1	account
FB	ACCOUNTS	ДО_ПБС_2	ДО_ПБС_2	Бухгалтерский счет ДО_ПБС_2	account
FB	ACCOUNTS	ДО_ПБС_3	ДО_ПБС_3	Бухгалтерский счет ДО_ПБС_3	account
FB	ACCOUNTS	ДО_ПБС_ВАЛ_1	ДО_ПБС_ВАЛ_1	Бухгалтерский счет ДО_ПБС_ВАЛ_1	account
FB	ACCOUNTS	ДО_ПБС_ВАЛ_2	ДО_ПБС_ВАЛ_2	Бухгалтерский счет ДО_ПБС_ВАЛ_2	account
FB	ACCOUNTS	ДО_ПБС_ВАЛ_3	ДО_ПБС_ВАЛ_3	Бухгалтерский счет ДО_ПБС_ВАЛ_3	account
FB	ACCOUNTS	ДО_ПБС_СРОК	ДО_ПБС_СРОК	Бухгалтерский счет ДО_ПБС_СРОК	account
FB	ACCOUNTS	ЛБО_1	ЛБО_1	Бухгалтерский счет ЛБО_1	account
FB	ACCOUNTS	ЛБО_ВАЛ_1	ЛБО_ВАЛ_1	Бухгалтерский счет ЛБО_ВАЛ_1	account
FB	ACCOUNTS	ЛБО_ГАБС_1	ЛБО_ГАБС_1	Бухгалтерский счет ЛБО_ГАБС_1	account
FB	ACCOUNTS	ЛБО_ГАБС_2	ЛБО_ГАБС_2	Бухгалтерский счет ЛБО_ГАБС_2	account
FB	ACCOUNTS	ЛБО_ГАБС_3	ЛБО_ГАБС_3	Бухгалтерский счет ЛБО_ГАБС_3	account
FB	ACCOUNTS	ЛБО_ГРБС_1	ЛБО_ГРБС_1	Бухгалтерский счет ЛБО_ГРБС_1	account
FB	ACCOUNTS	ЛБО_ГРБС_2	ЛБО_ГРБС_2	Бухгалтерский счет ЛБО_ГРБС_2	account
FB	ACCOUNTS	ЛБО_ГРБС_3	ЛБО_ГРБС_3	Бухгалтерский счет ЛБО_ГРБС_3	account
FB	ACCOUNTS	ЛБО_ГРБС_4	ЛБО_ГРБС_4	Бухгалтерский счет ЛБО_ГРБС_4	account
FB	ACCOUNTS	ЛБО_ГРБС_ОКВ_1	ЛБО_ГРБС_ОКВ_1	Бухгалтерский счет ЛБО_ГРБС_ОКВ_1	account
FB	ACCOUNTS	ЛБО_ГРБС_ОКВ_2	ЛБО_ГРБС_ОКВ_2	Бухгалтерский счет ЛБО_ГРБС_ОКВ_2	account
FB	ACCOUNTS	ЛБО_ГРБС_ОКВ_3	ЛБО_ГРБС_ОКВ_3	Бухгалтерский счет ЛБО_ГРБС_ОКВ_3	account
FB	ACCOUNTS	ЛБО_КОНТР_1	ЛБО_КОНТР_1	Бухгалтерский счет ЛБО_КОНТР_1	account
FB	ACCOUNTS	ЛБО_ПБС_1	ЛБО_ПБС_1	Бухгалтерский счет ЛБО_ПБС_1	account
FB	ACCOUNTS	ЛБО_ПБС_2	ЛБО_ПБС_2	Бухгалтерский счет ЛБО_ПБС_2	account
FB	ACCOUNTS	ЛБО_ПБС_ВАЛ_1	ЛБО_ПБС_ВАЛ_1	Бухгалтерский счет ЛБО_ПБС_ВАЛ_1	account
FB	ACCOUNTS	ЛБО_ПБС_ОТЗ_1	ЛБО_ПБС_ОТЗ_1	Бухгалтерский счет ЛБО_ПБС_ОТЗ_1	account
FB	ACCOUNTS	ЛБО_ПЕР_1	ЛБО_ПЕР_1	Бухгалтерский счет ЛБО_ПЕР_1	account
FB	ACCOUNTS	ЛБО_ПОЛ_1	ЛБО_ПОЛ_1	Бухгалтерский счет ЛБО_ПОЛ_1	account
FB	ACCOUNTS	ЛБО_РБС_РЕЗ_1	ЛБО_РБС_РЕЗ_1	Бухгалтерский счет ЛБО_РБС_РЕЗ_1	account
FB	ACCOUNTS	ЛБО_РЕЗ_1	ЛБО_РЕЗ_1	Бухгалтерский счет ЛБО_РЕЗ_1	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_1	ЛБО_УТВ_БДЖ_1	Бухгалтерский счет ЛБО_УТВ_БДЖ_1	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_2	ЛБО_УТВ_БДЖ_2	Бухгалтерский счет ЛБО_УТВ_БДЖ_2	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_3	ЛБО_УТВ_БДЖ_3	Бухгалтерский счет ЛБО_УТВ_БДЖ_3	account
FB	ACCOUNTS	ЛБО_УТВ_БДЖ_4	ЛБО_УТВ_БДЖ_4	Бухгалтерский счет ЛБО_УТВ_БДЖ_4	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_1	ЛБО_УТВ_ГРБС_1	Бухгалтерский счет ЛБО_УТВ_ГРБС_1	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_2	ЛБО_УТВ_ГРБС_2	Бухгалтерский счет ЛБО_УТВ_ГРБС_2	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_3	ЛБО_УТВ_ГРБС_3	Бухгалтерский счет ЛБО_УТВ_ГРБС_3	account
FB	ACCOUNTS	ЛБО_УТВ_ГРБС_4	ЛБО_УТВ_ГРБС_4	Бухгалтерский счет ЛБО_УТВ_ГРБС_4	account
FB	ACCOUNTS	ЛБО_ФАИП_1	ЛБО_ФАИП_1	Бухгалтерский счет ЛБО_ФАИП_1	account
FB	ACCOUNTS	ЛБО_ФАИП_2	ЛБО_ФАИП_2	Бухгалтерский счет ЛБО_ФАИП_2	account
FB	ACCOUNTS	ЛБО_ФАИП_3	ЛБО_ФАИП_3	Бухгалтерский счет ЛБО_ФАИП_3	account
FB	ACCOUNTS	ПОСТ_ЗАЧ_С_БДЖ	ПОСТ_ЗАЧ_С_БДЖ	Бухгалтерский счет ПОСТ_ЗАЧ_С_БДЖ	account
